"ADMINID","ENRORGID","PERMNUMBER","GRADE","GRADEBEGIN","GRADEEND","SY"
"SU021","PS187","1202720","12","09/08/2020","","2021"
"SU021","PS187","1203047","12","09/08/2020","","2021"
"SU021","PS187","1207073","12","09/08/2020","","2021"
"SU021","PS187","1209061","12","09/10/2019","09/20/2020","2021"
"SU021","PS187","1214323","12","09/08/2020","","2021"
"SU021","PS187","1214411","12","09/08/2020","","2021"
"SU021","PS187","1214701","12","09/08/2020","","2021"
"SU021","PS187","1214738","09","09/08/2020","","2021"
"SU021","PS187","1214739","11","09/08/2020","","2021"
"SU021","PS187","1215635","12","09/08/2020","","2021"
"SU021","PS187","1215929","12","09/08/2020","","2021"
"SU021","PS187","1216092","12","09/08/2020","","2021"
"SU021","PS187","1216192","12","09/08/2020","10/22/2020","2021"
"SU021","PS187","1216303","12","09/08/2020","","2021"
"SU021","PS187","1216414","12","09/08/2020","","2021"
"SU021","PS187","1216433","12","09/08/2020","","2021"
"SU021","PS187","1216920","12","09/08/2020","","2021"
"SU021","PS187","1217052","12","09/08/2020","","2021"
"SU021","PS187","1217061","12","09/08/2020","","2021"
"SU021","PS187","1217062","12","09/08/2020","","2021"
"SU021","PS187","1217066","12","09/08/2020","","2021"
"SU021","PS187","1217109","12","09/08/2020","","2021"
"SU021","PS187","1217116","12","09/08/2020","","2021"
"SU021","PS187","1217366","12","09/08/2020","","2021"
"SU021","PS187","1217477","12","09/08/2020","","2021"
"SU021","PS187","1217872","11","09/08/2020","10/22/2020","2021"
"SU021","PS187","1217901","11","09/08/2020","09/14/2020","2021"
"SU021","PS187","1217911","12","09/08/2020","","2021"
"SU021","PS187","1217923","12","09/08/2020","","2021"
"SU021","PS187","1217929","12","09/08/2020","","2021"
"SU021","PS187","1218380","11","09/08/2020","","2021"
"SU021","PS187","1219199","12","09/08/2020","","2021"
"SU021","PS187","1219555","12","09/08/2020","","2021"
"SU021","PS187","1220096","12","09/08/2020","","2021"
"SU021","PS187","1224766","12","08/28/2019","12/07/2020","2021"
"SU021","PS187","1224887","11","09/08/2020","","2021"
"SU021","PS187","1224888","11","09/08/2020","","2021"
"SU021","PS187","1224889","11","09/08/2020","","2021"
"SU021","PS187","1224890","12","09/08/2020","","2021"
"SU021","PS187","1224891","11","09/08/2020","","2021"
"SU021","PS187","1224892","11","09/08/2020","","2021"
"SU021","PS187","1224900","12","09/08/2020","","2021"
"SU021","PS187","1224949","12","09/08/2020","09/09/2020","2021"
"SU021","PS187","1224964","12","09/08/2020","","2021"
"SU021","PS187","1224965","12","09/08/2020","","2021"
"SU021","PS187","1224970","12","09/08/2020","","2021"
"SU021","PS187","1225012","12","09/08/2020","","2021"
"SU021","PS187","1225013","12","09/08/2020","","2021"
"SU021","PS187","1225015","12","09/08/2020","","2021"
"SU021","PS187","1225074","12","09/08/2020","","2021"
"SU021","PS187","1225087","12","09/08/2020","","2021"
"SU021","PS187","1225088","11","09/08/2020","","2021"
"SU021","PS187","1225098","12","09/08/2020","","2021"
"SU021","PS187","1225104","12","09/08/2020","","2021"
"SU021","PS187","1225256","12","09/08/2020","","2021"
"SU021","PS187","1225257","12","09/08/2020","","2021"
"SU021","PS187","1225289","11","09/08/2020","","2021"
"SU021","PS187","1225454","12","09/08/2020","","2021"
"SU021","PS187","1225744","12","09/08/2020","","2021"
"SU021","PS187","1225807","12","09/08/2020","09/09/2020","2021"
"SU021","PS187","1226368","11","09/08/2020","","2021"
"SU021","PS187","1227942","12","09/08/2020","","2021"
"SU021","PS187","1228045","12","09/08/2020","","2021"
"SU021","PS187","1229370","12","09/08/2020","","2021"
"SU021","PS187","1229830","12","09/08/2020","","2021"
"SU021","PS187","1230259","12","09/08/2020","","2021"
"SU021","PS187","1230300","11","09/09/2020","","2021"
"SU021","PS187","1230401","07","09/08/2020","","2021"
"SU021","PS187","1230618","11","09/08/2020","","2021"
"SU021","PS187","1230730","10","09/08/2020","","2021"
"SU021","PS187","1230877","07","09/08/2020","","2021"
"SU021","PS187","1230965","10","09/08/2020","","2021"
"SU021","PS187","1231014","09","09/08/2020","","2021"
"SU021","PS187","1231108","08","09/22/2020","11/12/2020","2021"
"SU021","PS187","1231296","07","09/08/2020","","2021"
"SU021","PS187","1231322","07","10/30/2020","","2021"
"SU021","PS187","1231414","07","09/08/2020","","2021"
"SU021","PS187","1231418","07","09/08/2020","","2021"
"SU021","PS187","1231456","09","09/08/2020","","2021"
"SU021","PS187","1231523","10","09/08/2020","","2021"
"SU021","PS187","1231558","08","09/08/2020","","2021"
